catalog_token,julian_date,mag,mag_sig,ra_deg,dec_deg,pred_minus_ra_arcsec,pred_minus_dec_arcsec,manual_ra_offset_arcsec,manual_dec_offset_arcsec,exptime,zeropoint,zeropoint_sig,inst_mag,inst_mag_sig,phot_cat,band,sextractor_flag,instrument,photometry_method,fwhm,mag_src_sig,mag_cal_sig,mag_tot_sig,ra_src_sig,dec_src_sig,pos_src_sig,ra_ast_sig,dec_ast_sig,pos_ast_sig,ra_tot_sig,dec_tot_sig,pos_tot_sig,source_photometry_file,source_fits_file
2003_WW218_20031221T045026.5776_g_e,2452994.7020085,23.3373,0.3044,69.66573776,+22.02285596,1.20,-0.20,0.00,0.00,53.91,21.8833,0.0223,1.4540,0.3036,SDSS-R9,g,0,SDSS,APER,1.95,0.3036,0.0223,0.3044,0.1529,0.1528,0.2162,0.0272,0.0341,0.0436,0.1553,0.1566,0.2205,/Users/colinchandler/GitHub/photometrypipeline/PP/2003-12-21/g/photometry_2003_WW218.dat,/Users/colinchandler/GitHub/photometrypipeline/PP/2003-12-21/g/2003_WW218_20031221T045026.5776_g_exp54s_SDSS_frame-g-004334-1-0182_image.fits
2003_WW218_20031221T044651.63168_i_,2452994.6995204,20.2196,0.0623,69.66666878,+22.02295447,-1.15,-0.52,0.00,0.00,53.91,22.4263,0.0126,-2.2067,0.0610,SDSS-R9,i,0,SDSS,APER,2.58,0.0610,0.0126,0.0623,0.0426,0.0426,0.0603,0.0191,0.0338,0.0388,0.0467,0.0544,0.0717,/Users/colinchandler/GitHub/photometrypipeline/PP/2003-12-21/i/photometry_2003_WW218.dat,/Users/colinchandler/GitHub/photometrypipeline/PP/2003-12-21/i/2003_WW218_20031221T044651.63168_i_exp54s_SDSS_frame-i-004334-1-0182_image.fits
2003_WW218_20031221T044539.9888_r_e,2452994.6986911,20.5359,0.0932,69.66676298,+22.02297673,-1.16,-0.60,0.00,0.00,53.91,22.4831,0.0161,-1.9473,0.0918,SDSS-R9,r,2,SDSS,APER,4.42,0.0918,0.0161,0.0932,0.0419,0.0419,0.0592,0.0162,0.0306,0.0346,0.0449,0.0519,0.0686,/Users/colinchandler/GitHub/photometrypipeline/PP/2003-12-21/r/photometry_2003_WW218.dat,/Users/colinchandler/GitHub/photometrypipeline/PP/2003-12-21/r/2003_WW218_20031221T044539.9888_r_exp54s_SDSS_frame-r-004334-1-0182_image.fits
2003_WW218_20031221T044914.93472_z_,2452994.7011791,20.4599,0.1415,69.66648044,+22.02297934,-1.15,-0.65,0.00,0.00,53.91,22.1094,0.0254,-1.6495,0.1392,SDSS-R9,z,0,SDSS,APER,3.03,0.1392,0.0254,0.1415,0.1778,0.1777,0.2514,0.0276,0.0399,0.0485,0.1799,0.1822,0.2560,/Users/colinchandler/GitHub/photometrypipeline/PP/2003-12-21/z/photometry_2003_WW218.dat,/Users/colinchandler/GitHub/photometrypipeline/PP/2003-12-21/z/2003_WW218_20031221T044914.93472_z_exp54s_SDSS_frame-z-004334-1-0182_image.fits
