FLUX_ISOCOR,FLUXERR_ISOCOR,MAG_ISOCOR,MAGERR_ISOCOR,FLUX_APER,FLUXERR_APER,MAG_APER,MAGERR_APER,FLUX_AUTO,FLUXERR_AUTO,MAG_AUTO,MAGERR_AUTO,FLUX_MAX,ISOAREA_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,ra_deg,dec_deg,ERRAWIN_IMAGE,ERRBWIN_IMAGE,ERRTHETAWIN_IMAGE,FLAGS,FWHM_IMAGE,FWHM_WORLD,FLUX_GROWTH,FLUX_GROWTHSTEP,ra_deg_sextractor,dec_deg_sextractor
1417562.375,1160.752685546875,-15.37885570526123,0.0008892571204341948,50685.2109375,210.11642456054688,-11.762203216552734,0.0045020319521427155,1398030.25,1282.0296630859375,-15.363791465759277,0.0009958898881450295,7647.11474609375,1168,57.24040222167969,1.4071789979934692,56.566986083984375,2013.506070764772,139.6405933725909,9.088461543271345,0.8220440063498827,0.04714192450046539,0.0020957847591489553,57.30868911743164,16,53.87665557861328,0.003932878375053406,665432.0,343.4424133300781,9.08846154327133,0.8220440063498702
31126826.0,3264.8154296875,-18.732837677001953,0.00011390784493414685,2386613.25,794.74560546875,-15.94445514678955,0.0003616395406424999,30677024.0,3120.036376953125,-18.71703338623047,0.00011045268183806911,48454.9375,4050,22.492101669311523,3.7584381103515625,89.50675964355469,554.4563295281858,111.12412891863126,9.086453751296334,0.9287272624408524,0.0018905692268162966,0.0010731822112575173,89.43257141113281,20,55.19440460205078,0.004028928000479937,30932926.0,134.95260620117188,9.086453751296334,0.9287272624408396
133178.328125,863.6742553710938,-12.811083793640137,0.007042814511805773,32142.193359375,197.9541473388672,-11.267688751220703,0.006688348948955536,124019.1875,872.6536254882812,-12.733721733093262,0.007641574367880821,855.7670288085938,651,6.114323616027832,4.99818754196167,-25.52886962890625,638.3817145306829,88.84868644937548,9.084824755293372,0.9225916420594494,0.03215182572603226,0.03190146014094353,-28.94400405883789,2,11.748677253723145,0.0008575909887440503,123555.2265625,36.685943603515625,9.084824755293397,0.922591642059433
21894.470703125,341.9035339355469,-10.850835800170898,0.016958950087428093,16087.6064453125,187.6068115234375,-10.516228675842285,0.01266446989029646,20615.732421875,352.5928649902344,-10.785496711730957,0.018573962152004242,733.8838500976562,109,2.3705716133117676,2.1080284118652344,64.16928100585938,456.51781994902205,50.252972592760685,9.082023655571167,0.9358888290132593,0.0320255346596241,0.03199755400419235,36.61234664916992,0,4.782140731811523,0.000349061272572726,19216.2421875,14.223429679870605,9.082023655571167,0.9358888290132472
132977.671875,469.2892150878906,-12.809447288513184,0.0038325840141624212,96285.140625,235.26231384277344,-12.458898544311523,0.0026535233482718468,129762.015625,438.30804443359375,-12.782869338989258,0.0036682733334600925,4321.71875,250,2.619798183441162,2.528209924697876,58.46805953979492,890.42998136413,35.06986257907568,9.08088986443451,0.9041648023006584,0.006821883376687765,0.006737415213137865,67.57549285888672,0,4.803234100341797,0.0003506045031826943,132530.109375,15.718789100646973,9.080889864434523,0.9041648023006442
3089.736083984375,255.75572204589844,-8.724803924560547,0.08989463746547699,2585.143798828125,178.46253967285156,-8.531211853027344,0.07497081160545349,3596.50927734375,408.138427734375,-8.889702796936035,0.12324126064777374,119.830078125,30,2.257066011428833,1.3150590658187866,64.8855972290039,1553.856700806238,27.409863253788366,9.080298625795804,0.8556584916895502,0.21743236482143402,0.21721744537353516,65.63377380371094,3,8.990316390991211,0.0006562417838722467,2821.694091796875,13.542396545410156,9.080298625795818,0.8556584916895368
1850545.25,965.8701171875,-15.668249130249023,0.0005668248049914837,1261753.625,590.3124389648438,-15.252436637878418,0.00050808594096452,1811077.5,816.4658203125,-15.644842147827148,0.0004895880119875073,42774.59375,683,3.0789523124694824,2.8502542972564697,-41.066593170166016,1643.1514384210275,11.696832391230684,9.079149832050117,0.8491302756696409,0.0013785409973934293,0.0013254876248538494,-81.7596664428711,20,6.279631614685059,0.0004583741829264909,1840917.0,18.473712921142578,9.079149832050117,0.8491302756696282
4049.6455078125,286.0213623046875,-9.018542289733887,0.07670281082391739,2925.09033203125,178.70201110839844,-8.665348052978516,0.06634679436683655,3313.39990234375,274.39569091796875,-8.800684928894043,0.08993593603372574,151.158203125,39,1.8128597736358643,1.7431504726409912,22.734844207763672,204.62253691421404,23.726859129616734,9.080108129171629,0.9543051809820581,0.15693338215351105,0.1564648151397705,37.51906204223633,0,6.789703369140625,0.0004955856711603701,2733.8583984375,10.877159118652344,9.080108129171629,0.9543051809820448
11022.162109375,380.3847351074219,-10.105667114257812,0.03747883811593056,6332.41259765625,181.08465576171875,-9.503923416137695,0.031055768951773643,9785.623046875,376.9261169433594,-9.976470947265625,0.04183093458414078,237.92578125,93,2.576078414916992,2.2784476280212402,-15.772767066955566,601.9930925317142,19.253753821379135,9.079754725328813,0.9252535151668027,0.09820853173732758,0.09813657402992249,84.92691802978516,0,7.625113487243652,0.0005565725150518119,7978.1103515625,15.456470489501953,9.079754725328813,0.9252535151667899
2154.4736328125,242.20957946777344,-8.333353042602539,0.12208995968103409,1600.833984375,177.4879150390625,-8.010866165161133,0.12040715664625168,2249.455078125,321.8199768066406,-8.380193710327148,0.15536940097808838,129.63525390625,21,2.148930549621582,1.4587488174438477,-12.59781265258789,1479.9019867846216,16.747207338975628,9.079524682801614,0.8610662396462813,0.35594046115875244,0.3558310270309448,-37.23501205444336,1,10.605995178222656,0.0007741719600744545,1507.249755859375,12.893583297729492,9.079524682801614,0.8610662396462679
6338.88330078125,411.32666015625,-9.50503158569336,0.0704699456691742,2034.1390380859375,178.14340209960938,-8.270951271057129,0.09510841220617294,2234.741943359375,264.68408203125,-8.373068809509277,0.12862645089626312,112.13693237304688,28,1.7847731113433838,1.6292668581008911,24.68304443359375,1555.7052107909665,11.343287642062151,9.07912761797171,0.855524035884035,0.23086896538734436,0.2308184951543808,38.92461013793945,16,9.645892143249512,0.0007040892378427088,-3457.67431640625,10.708639144897461,9.07912761797171,0.8555240358840223
1231.9049072265625,199.43624877929688,-7.726442813873291,0.17581532895565033,681.9605102539062,177.39599609375,-7.08439826965332,0.2824973464012146,767.55517578125,185.25746154785156,-7.21277379989624,0.2621174454689026,75.041748046875,10,1.7756716012954712,0.8285821080207825,26.523788452148438,1155.085817504748,11.3623862656707,9.07914762603652,0.8848154607867571,0.5268277525901794,0.525589108467102,35.34101486206055,16,7.247844219207764,0.0005290426779538393,-3728.906982421875,10.654029846191406,9.07914762603652,0.8848154607867443
